step,K,U,E
0,0.0226840574,-0.9913950386,-0.9687109812
1,0.0902807624,-1.0590763559,-0.9687955935
2,0.2014430190,-1.1703754272,-0.9689324082
3,0.3539886168,-1.3231040601,-0.9691154432
4,0.5449898926,-1.5143268327,-0.9693369401
5,0.7708902711,-1.7404781693,-0.9695878982
6,1.0276398659,-1.9974985258,-0.9698586600
7,1.3108415559,-2.2809810473,-0.9701394914
8,1.6158989866,-2.5863200953,-0.9704211088
9,1.9381586868,-2.9088538009,-0.9706951141
10,2.2730397843,-3.2439941010,-0.9709543166
11,2.6161464385,-3.5873393706,-0.9711929321
12,2.9633598836,-3.9347665467,-0.9714066632
13,3.3109086912,-4.2825013689,-0.9715926777
14,3.6554173803,-4.6271668846,-0.9717495042
15,3.9939347252,-4.9658115945,-0.9718768693
16,4.3239439980,-5.2959194976,-0.9719754996
17,4.6433579284,-5.6154048389,-0.9720469104
18,4.9505014093,-5.9225946059,-0.9720931966
19,5.2440849701,-6.2162018088,-0.9721168387
20,5.5231718478,-6.4952923812,-0.9721205334
21,5.7871411687,-6.7592482198,-0.9721070511
22,6.0356493667,-7.0077284895,-0.9720791228
23,6.2685915546,-7.2406309092,-0.9720393546
24,6.4860641642,-7.4580543326,-0.9719901685
25,6.6883298063,-7.6602635698,-0.9719337634
26,6.8757849817,-7.8476570777,-0.9718720960
27,7.0489310068,-8.0207378809,-0.9718068740
28,7.2083483094,-8.1800878709,-0.9717395615
29,7.3546740822,-8.3263454732,-0.9716713910
30,7.4885831681,-8.4601865491,-0.9716033810
31,7.6107719682,-8.5823083245,-0.9715363563
32,7.7219451152,-8.6934160845,-0.9714709693
33,7.8228046281,-8.7942123503,-0.9714077222
34,7.9140412570,-8.8853882447,-0.9713469878
35,7.9963277336,-8.9676167623,-0.9712890286
36,8.0703136561,-9.0415476719,-0.9712340158
37,8.1366217573,-9.1078038018,-0.9711820444
38,8.1958453318,-9.1669784800,-0.9711331482
39,8.2485466171,-9.2196339287,-0.9710873116
40,8.2952559538,-9.2663004346,-0.9710444808
41,8.3364715708,-9.3074761431,-0.9710045723
42,8.3726598625,-9.3436273435,-0.9709674810
43,8.4042560486,-9.3751891346,-0.9709330861
44,8.4316651216,-9.4025663780,-0.9709012564
45,8.4552630049,-9.4261348596,-0.9708718547
46,8.4753978573,-9.4462425982,-0.9708447408
47,8.4923914729,-9.4632112475,-0.9708197746
48,8.5065407333,-9.4773375507,-0.9707968174
49,8.5181190802,-9.4888948147,-0.9707757345
50,8.5273779827,-9.4981343780,-0.9707563953
51,8.5345483773,-9.5052870524,-0.9707386751
52,8.5398420691,-9.5105645238,-0.9707224547
53,8.5434530797,-9.5141607013,-0.9707076216
54,8.5455589377,-9.5162530072,-0.9706940695
55,8.5463219036,-9.5170036021,-0.9706816985
56,8.5458901289,-9.5165605444,-0.9706704155
57,8.5443987472,-9.5150588805,-0.9706601333
58,8.5419708970,-9.5126216678,-0.9706507708
59,8.5387186776,-9.5093609305,-0.9706422529
60,8.5347440414,-9.5053785511,-0.9706345097
61,8.5301396220,-9.5007670988,-0.9706274768
62,8.5249895038,-9.4956105983,-0.9706210945
63,8.5193699340,-9.4899852419,-0.9706153079
64,8.5133499816,-9.4839600480,-0.9706100663
65,8.5069921453,-9.4775974685,-0.9706053231
66,8.5003529142,-9.4709539497,-0.9706010355
67,8.4934832844,-9.4640804483,-0.9705971639
68,8.4864292342,-9.4570229065,-0.9705936723
69,8.4792321612,-9.4498226886,-0.9705905274
70,8.4719292829,-9.4425169817,-0.9705876988
71,8.4645540061,-9.4351391646,-0.9705851585
72,8.4571362638,-9.4277191449,-0.9705828810
73,8.4497028258,-9.4202836687,-0.9705808429
74,8.4422775818,-9.4128566045,-0.9705790228
75,8.4348818020,-9.4054592029,-0.9705774009
76,8.4275343749,-9.3981103343,-0.9705759594
77,8.4202520247,-9.3908267066,-0.9705746818
78,8.4130495113,-9.3836230645,-0.9705735531
79,8.4059398116,-9.3765123713,-0.9705725597
80,8.3989342865,-9.3695059753,-0.9705716888
81,8.3920428331,-9.3626137622,-0.9705709291
82,8.3852740232,-9.3558442934,-0.9705702702
83,8.3786352309,-9.3492049332,-0.9705697023
84,8.3721327478,-9.3427019647,-0.9705692169
85,8.3657718894,-9.3363406953,-0.9705688059
86,8.3595570908,-9.3301255529,-0.9705684621
87,8.3534919953,-9.3240601742,-0.9705681788
88,8.3475795345,-9.3181474845,-0.9705679501
89,8.3418220009,-9.3123897711,-0.9705677702
90,8.3362211150,-9.3067887493,-0.9705676344
91,8.3307780857,-9.3013456236,-0.9705675378
92,8.3254936656,-9.2960611421,-0.9705674765
93,8.3203682008,-9.2909356474,-0.9705674466
94,8.3154016769,-9.2859691215,-0.9705674446
95,8.3105937603,-9.2811612277,-0.9705674674
96,8.3059438358,-9.2765113480,-0.9705675121
97,8.3014510409,-9.2720186171,-0.9705675762
98,8.2971142965,-9.2676819538,-0.9705676573
99,8.2929323350,-9.2635000883,-0.9705677533
100,8.2889037261,-9.2594715883,-0.9705678622
101,8.2850268991,-9.2555948813,-0.9705679822
102,8.2813001639,-9.2518682758,-0.9705681119
103,8.2777217301,-9.2482899798,-0.9705682497
104,8.2742897232,-9.2448581176,-0.9705683944
105,8.2710022000,-9.2415707394,-0.9705685393
106,8.2678571626,-9.2384258569,-0.9705686944
107,8.2648525697,-9.2354214229,-0.9705688532
108,8.2619863487,-9.2325553635,-0.9705690148
109,8.2592564043,-9.2298255829,-0.9705691786
110,8.2566606280,-9.2272299718,-0.9705693438
111,8.2541969053,-9.2247664152,-0.9705695099
112,8.2518631230,-9.2224327992,-0.9705696762
113,8.2496571746,-9.2202270170,-0.9705698424
114,8.2475769662,-9.2181469742,-0.9705700081
115,8.2456204206,-9.2161905933,-0.9705701727
116,8.2437854818,-9.2143558179,-0.9705703361
117,8.2420701179,-9.2126406159,-0.9705704980
118,8.2404723247,-9.2110429828,-0.9705706581
119,8.2389901276,-9.2095609438,-0.9705708162
120,8.2376215842,-9.2081925563,-0.9705709721
121,8.2363647856,-9.2069359113,-0.9705711257
122,8.2352178583,-9.2057891351,-0.9705712768
123,8.2341789647,-9.2047503902,-0.9705714255
124,8.2332463046,-9.2038178761,-0.9705715715
125,8.2324181152,-9.2029898300,-0.9705717148
126,8.2316926718,-9.2022645272,-0.9705718555
127,8.2310682879,-9.2016402812,-0.9705719934
128,8.2305433151,-9.2011154437,-0.9705721285
129,8.2301161434,-9.2006884043,-0.9705722609
130,8.2297852000,-9.2003575906,-0.9705723906
131,8.2295489499,-9.2001214675,-0.9705725175
132,8.2294058948,-9.1999785366,-0.9705726418
133,8.2293545726,-9.1999273360,-0.9705727634
134,8.2293935566,-9.1999664390,-0.9705728824
135,8.2295214550,-9.2000944538,-0.9705729988
136,8.2297369100,-9.2003100228,-0.9705731127
137,8.2300385968,-9.2006118210,-0.9705732242
138,8.2304252226,-9.2009985558,-0.9705733333
139,8.2308955258,-9.2014689659,-0.9705734400
